SubjectID	sections
48289169	Bioingénierie|Sciences et technologies du vivant - master
1774997	Systèmes de communication|Informatique|Passerelle HES - SC
1777057	Microtechnique
652078498	Génie électrique et électronique
1680358821	Programme Sciences humaines et sociales
1770651047	Génie civil
1770923	Systèmes de communication - master|Informatique
1499334061	Génie électrique et électronique|Passerelle HES - EL
352617902	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat|Mineur en Systems Engineering
784637359	Systèmes de communication|Informatique
1927284144	Génie mécanique
352632242	Management, technologie et entrepreneuriat|Mineur en Management, technologie et entrepreneuriat|UNIL - HEC
1775032	Architecture
1771764	Génie électrique et électronique|Information security minor|Systèmes de communication - master|Informatique
1799962043	Architecture|Passerelle HES - AR
1657415100	Chimie et génie chimique|Génie civil|Microtechnique|Génie électrique et électronique|Génie mécanique|Science et génie des matériaux|Sciences et ingénierie de l'environnement|Sciences et technologies du vivant|Systèmes de communication|Informatique
260079039	Chimie et génie chimique
1772992	Programme Sciences humaines et sociales
1773472	Systèmes de communication|Informatique
352059100	Science et génie des matériaux
1772997	Programme Sciences humaines et sociales
1771703752	Génie mécanique
229987786	Ingénierie financière
838976977	Science et génie des matériaux
1889072595	Architecture
445435350	Programme Sciences humaines et sociales
243791097	Science et ingénierie computationnelles
1676565978	Génie électrique et électronique|Information security minor
1770973	Information security minor|Systèmes de communication - master|Informatique
1927284194	Microtechnique
1775867	Génie mécanique
24346085	Mathématiques
1670084070	Génie électrique et électronique
1777127	Gestion de l'énergie et construction durable|Génie mécanique|Génie nucléaire
132426961	Ingénierie mathématique|Mathématiques - master
1908418027	Programme Sciences humaines et sociales
23985644	Mineur en Design intégré, architecture et durabilité|Mineur en Énergie|Sciences et ingénierie de l'environnement
230665709	Chimie et génie chimique
1680357972	Programme Sciences humaines et sociales
1676846587	Génie civil|Science et génie des matériaux|Sciences et ingénierie de l'environnement|Sciences et technologies du vivant|Sciences et technologies du vivant|UNIL - Sciences forensiques
71603711	Mineur en Neuroprosthétiques|Mineur en Technologies biomédicales|Systèmes de communication - master|Informatique
354337707	Génie électrique et électronique|Mineur en Technologies spatiales|Passerelle HES - EL
1499342340	Sciences et ingénierie de l'environnement
1669888598	Génie électrique et électronique|Passerelle HES - EL
4144648	Systèmes de communication|Informatique|Passerelle HES - IN
1775532	Physique
